work,hincome,children,region
1,15,present,Ontario
1,13,present,Ontario
1,45,present,Ontario
1,23,present,Ontario
1,19,present,Ontario
1,7,present,Ontario
1,15,present,Ontario
0,7,present,Ontario
1,15,present,Ontario
1,23,present,Ontario
1,23,present,Ontario
0,13,present,Ontario
1,9,present,Prairie
1,9,present,Prairie
1,45,present,Atlantic
1,15,present,Atlantic
1,5,present,Ontario
1,9,present,Ontario
1,13,present,Ontario
1,13,absent,Ontario
0,19,absent,Ontario
1,23,present,Prairie
0,10,absent,Prairie
0,11,absent,Ontario
1,23,present,Ontario
1,23,present,Ontario
1,19,present,Ontario
1,19,present,Ontario
1,17,present,Prairie
0,14,present,Prairie
1,13,present,Ontario
1,13,present,Ontario
1,15,present,Ontario
1,9,absent,Ontario
1,9,absent,Ontario
1,19,absent,Ontario
1,15,present,Ontario
0,20,absent,Ontario
1,9,present,Atlantic
0,6,absent,Atlantic
1,9,present,BC
0,4,present,Ontario
0,28,absent,Ontario
1,23,present,Ontario
0,5,present,Ontario
1,28,present,Ontario
1,7,present,Ontario
1,7,present,Ontario
1,23,present,Prairie
0,15,absent,Prairie
0,10,present,Prairie
0,10,present,Prairie
1,9,absent,Ontario
1,9,absent,Ontario
0,9,present,Atlantic
1,17,absent,Atlantic
1,23,present,Atlantic
1,23,present,Atlantic
1,9,present,Ontario
1,9,present,Ontario
0,9,absent,Ontario
0,28,absent,Ontario
0,10,present,Ontario
0,23,absent,Prairie
1,11,present,Prairie
1,15,present,Ontario
1,15,present,Ontario
1,19,present,Ontario
1,19,present,Ontario
1,23,present,Ontario
1,17,present,Ontario
1,17,present,Ontario
1,17,present,Ontario
1,17,present,Ontario
1,17,present,Ontario
0,38,present,Ontario
0,38,present,Ontario
1,7,present,Atlantic
1,19,present,Prairie
0,19,present,BC
0,13,absent,Ontario
0,15,present,Ontario
0,17,present,Ontario
0,17,present,Ontario
0,23,present,Ontario
0,27,absent,BC
0,16,present,BC
0,27,absent,Ontario
1,35,absent,Ontario
1,35,absent,Ontario
1,35,absent,Ontario
0,9,present,Ontario
0,9,present,Ontario
0,9,present,Ontario
1,13,present,Ontario
1,17,present,Ontario
1,17,present,Ontario
0,15,absent,Ontario
0,15,absent,Ontario
1,15,present,Ontario
0,11,absent,Atlantic
1,23,present,Atlantic
1,15,present,Atlantic
1,15,absent,BC
0,12,absent,BC
0,12,absent,BC
1,13,present,Prairie
1,19,present,Ontario
1,19,present,Atlantic
1,3,present,Atlantic
1,9,present,Atlantic
0,17,present,Atlantic
1,1,present,Atlantic
1,1,present,Atlantic
0,13,present,Prairie
1,13,present,Prairie
1,19,absent,BC
1,19,absent,BC
0,15,absent,BC
0,30,present,Ontario
1,9,present,Atlantic
1,23,present,Atlantic
0,9,absent,Ontario
0,9,absent,Ontario
1,13,present,Prairie
0,13,present,Ontario
1,17,present,Atlantic
0,13,present,Prairie
0,13,present,Prairie
0,19,present,Ontario
0,19,present,Ontario
1,3,present,Ontario
0,14,absent,Ontario
0,14,absent,Ontario
0,11,present,Ontario
0,11,present,Ontario
0,14,present,Ontario
1,13,present,Ontario
1,28,present,Ontario
1,28,present,Ontario
1,14,present,Ontario
1,14,present,Ontario
1,11,present,Prairie
1,13,present,Prairie
1,13,present,Prairie
0,11,present,Atlantic
0,11,present,Atlantic
1,19,present,BC
0,6,absent,BC
1,28,absent,BC
0,13,absent,BC
0,13,absent,BC
1,5,absent,BC
0,28,present,BC
0,11,present,BC
1,23,present,BC
0,15,present,BC
1,13,present,BC
0,22,absent,Ontario
0,15,absent,Ontario
1,15,present,Ontario
1,15,present,Atlantic
0,5,present,Atlantic
0,1,absent,Prairie
0,1,absent,Prairie
1,9,present,Atlantic
1,15,present,Ontario
0,13,absent,Ontario
1,19,present,Atlantic
0,8,present,BC
0,7,present,Prairie
1,19,present,Ontario
1,7,present,Ontario
0,9,absent,Ontario
0,9,absent,Ontario
0,24,absent,Ontario
1,15,present,Ontario
0,13,absent,Ontario
1,13,absent,BC
0,13,absent,BC
0,17,present,Atlantic
0,16,absent,Atlantic
0,18,absent,Ontario
0,18,absent,Ontario
1,13,absent,Ontario
0,15,present,BC
1,13,present,BC
1,7,present,BC
0,9,present,Atlantic
1,23,present,BC
1,17,present,Prairie
1,15,present,BC
1,11,present,Prairie
1,17,present,Prairie
1,17,present,Prairie
0,5,present,Prairie
0,5,present,Prairie
1,26,present,Ontario
0,10,absent,Quebec
0,11,absent,Quebec
0,20,present,Quebec
1,13,present,Quebec
1,15,present,Quebec
1,28,present,Quebec
0,9,present,Quebec
1,19,present,Quebec
1,11,present,Quebec
0,11,absent,Quebec
1,9,present,Quebec
0,10,absent,Quebec
1,19,present,Quebec
1,13,present,Quebec
0,3,absent,Quebec
1,15,present,Quebec
1,15,present,Quebec
0,17,present,Quebec
1,7,present,Quebec
0,15,absent,Quebec
1,19,present,Quebec
0,16,absent,Quebec
1,5,absent,Quebec
1,11,present,Quebec
1,11,present,Quebec
1,19,present,Quebec
1,15,present,Quebec
1,15,present,Quebec
1,11,present,Quebec
0,5,absent,Quebec
0,23,present,Quebec
0,23,present,Quebec
1,7,present,Quebec
1,13,present,Quebec
0,15,absent,Quebec
0,5,absent,Quebec
1,7,present,Quebec
0,6,absent,Quebec
0,5,present,Quebec
0,5,present,Quebec
1,13,present,Quebec
1,13,present,Quebec
1,13,present,Quebec
1,13,absent,Quebec
1,17,present,Quebec
0,6,present,Quebec
1,5,present,Quebec
0,19,present,Quebec
0,3,present,Quebec
1,23,absent,Quebec
1,23,absent,Quebec
0,15,absent,Quebec
1,11,absent,Quebec
1,23,absent,Quebec
1,13,present,Quebec
0,23,present,Quebec
0,11,absent,Quebec
1,9,absent,Quebec
0,2,absent,Quebec
1,15,present,Quebec
1,15,absent,Quebec
1,15,present,Quebec
1,11,present,Quebec
1,11,absent,Quebec
1,15,present,Quebec
